Retention type,Cell type,Number of cells,Number of SC marker genes,Number of ST marker genes,Number of ST lost genes,Retention percentage
unique marker genes,TEGLU3,244,73,11,62,15.07
unique marker genes,VLMC1,63,46,33,13,71.74
unique marker genes,ENT4,68,25,18,7,72.0
unique marker genes,TECHO,344,7,0,7,0.0
unique marker genes,CR,520,19,1,18,5.26
unique marker genes,MSN6,183,43,14,29,32.56
unique marker genes,TEINH4,23,30,26,4,86.67
unique marker genes,ENT5,15,28,26,2,92.86
unique marker genes,HBSER4,33,22,13,9,59.09
unique marker genes,NFOL1,29,92,67,25,72.83
unique marker genes,DECHO1,43,18,10,8,55.56
unique marker genes,MEGLU4,44,10,10,0,100.0
unique marker genes,EPMB,449,47,11,36,23.4
unique marker genes,ENT6,69,24,16,8,66.67
unique marker genes,TEGLU14,105,17,6,11,35.29
unique marker genes,OPC,145,65,24,41,36.92
unique marker genes,MEINH9,95,17,7,10,41.18
unique marker genes,MEGLU8,97,8,4,4,50.0
unique marker genes,MEGLU6,323,14,0,14,0.0
unique marker genes,PSNF2,105,38,10,28,26.32
unique marker genes,ACNT1,440,140,22,118,15.71
unique marker genes,SCINH8,154,35,16,19,45.71
unique marker genes,TEGLU1,598,8,1,7,12.5
unique marker genes,TEGLU8,218,95,13,82,13.68
unique marker genes,PSPEP7,153,21,8,13,38.1
unique marker genes,VLMC2,574,39,16,23,41.03
unique marker genes,ENTG3,35,75,60,15,80.0
unique marker genes,ENT2,15,14,12,2,85.71
unique marker genes,MOL3,337,99,25,74,25.25
unique marker genes,PSNP1,178,42,9,33,21.43
unique marker genes,SCGLU5,117,30,8,22,26.67
unique marker genes,SEPNBL,121,22,10,12,45.45
unique marker genes,ENT9,130,43,21,22,48.84
unique marker genes,DEINH5,240,20,1,19,5.0
unique marker genes,SCGLU4,196,20,3,17,15.0
unique marker genes,HBCHO2,181,29,12,17,41.38
unique marker genes,SYNOR4,26,62,44,18,70.97
unique marker genes,HBCHO4,249,10,2,8,20.0
unique marker genes,MOL1,311,147,36,111,24.49
unique marker genes,TEINH7,43,25,18,7,72.0
unique marker genes,RGSZ,217,61,13,48,21.31
unique marker genes,SCINH4,59,53,31,22,58.49
unique marker genes,SCGLU1,272,44,11,33,25.0
unique marker genes,SCGLU9,114,38,18,20,47.37
unique marker genes,DEGLU1,92,101,35,66,34.65
unique marker genes,MEINH6,260,19,3,16,15.79
unique marker genes,TEGLU17,225,53,9,44,16.98
unique marker genes,HBGLU3,308,13,5,8,38.46
unique marker genes,TEINH10,12,63,56,7,88.89
unique marker genes,TEGLU5,110,19,4,15,21.05
unique marker genes,TEGLU19,871,16,1,15,6.25
unique marker genes,HYPEP3,126,14,5,9,35.71
unique marker genes,DGGRC1,715,45,2,43,4.44
unique marker genes,TEINH13,391,17,2,15,11.76
unique marker genes,ACNT2,46,109,85,24,77.98
unique marker genes,CBINH1,145,65,28,37,43.08
unique marker genes,COP1,91,73,32,41,43.84
unique marker genes,SCGLU6,324,23,6,17,26.09
unique marker genes,VECC,85,57,37,20,64.91
unique marker genes,OBINH1,762,26,3,23,11.54
unique marker genes,TEGLU21,304,7,1,6,14.29
unique marker genes,HBGLU1,22,11,11,0,100.0
unique marker genes,COP2,88,25,12,13,48.0
unique marker genes,TEINH3,118,22,5,17,22.73
unique marker genes,OBDOP2,311,23,9,14,39.13
unique marker genes,OBINH2,62,59,41,18,69.49
unique marker genes,CHOR,67,53,36,17,67.92
unique marker genes,SCGLU2,75,25,15,10,60.0
unique marker genes,TEINH19,543,60,1,59,1.67
unique marker genes,VECV,155,98,41,57,41.84
unique marker genes,TEGLU18,11,61,51,10,83.61
unique marker genes,MSN3,34,48,37,11,77.08
top 100 marker genes,MBDOP1,485,92,32,60,34.78
top 100 marker genes,SCINH3,40,98,84,14,85.71
top 100 marker genes,SCGLU8,172,95,35,60,36.84
top 100 marker genes,PSNF3,10,89,86,3,96.63
top 100 marker genes,SCGLU3,138,95,58,37,61.05
top 100 marker genes,OBNBL3,90,97,47,50,48.45
top 100 marker genes,CBNBL2,378,92,39,53,42.39
top 100 marker genes,EPEN,19,91,80,11,87.91
top 100 marker genes,SCINH1,58,95,63,32,66.32
top 100 marker genes,MEINH2,117,84,68,16,80.95
top 100 marker genes,MGL3,6,90,77,13,85.56
top 100 marker genes,TEINH16,253,94,56,38,59.57
top 100 marker genes,ACMB,205,93,58,35,62.37
top 100 marker genes,HBSER3,17,89,85,4,95.51
top 100 marker genes,TEINH12,22,96,86,10,89.58
top 100 marker genes,MBCHO1,408,97,47,50,48.45
